Amenity,Type,Latitude,Longitude
Limbang Shopping Centre,Shopping Mall,1.392073887,103.7430996
Lot One,Shopping Mall,1.385069923,103.7452389
Rail Mall,Shopping Mall,1.357730502,103.7681377
Sunshine Place,Shopping Mall,1.377897277,103.7390155
Teck Whye Shopping Centre,Shopping Mall,1.38004753,103.7524838
West Mall,Shopping Mall,1.350375416,103.7491239
Yew Tee Point,Shopping Mall,1.397057415,103.7466621
Yew Tee Square,Shopping Mall,1.398047361,103.7470848
VivoCity,Shopping Mall,1.264293168,103.8223047
HarbourFront Centre,Shopping Mall,1.263931603,103.8201122
Alexandra Retail Centre,Shopping Mall,1.273842639,103.801375
321 Clementi,Shopping Mall,1.31200212,103.7649867
The Clementi Mall,Shopping Mall,1.314896196,103.7644231
IMM,Shopping Mall,1.334875261,103.7468948
JCube,Shopping Mall,1.333323126,103.7401871
Jem,Shopping Mall,1.333059993,103.7435037
Westgate,Shopping Mall,1.334157676,103.7427665
Jurong Point,Shopping Mall,1.339452004,103.706685
Pioneer Mall,Shopping Mall,1.341743161,103.6972862
The Star Vista,Shopping Mall,1.306815007,103.7884627
Alexandra Central,Shopping Mall,1.287283209,103.8052834
Anchorpoint,Shopping Mall,1.28893478,103.8056078
OD Mall,Shopping Mall,1.3385772,103.7934057
Boon Lay Shopping Centre,Shopping Mall,1.346373764,103.7124728
Grantral Mall,Shopping Mall,1.314270439,103.7651475
Fairprice Hub,Shopping Mall,1.325617678,103.6784097
Gek Poh Shopping Centre,Shopping Mall,1.348741647,103.6977396
Rochester Mall,Shopping Mall,1.305407656,103.7884467
Taman Jurong Shopping Centre,Shopping Mall,1.334844875,103.720462
West Coast Plaza,Shopping Mall,1.303818114,103.7662664
Queensway Shopping Centre,Shopping Mall,1.287617926,103.8033911
Admiralty Primary School,School,1.44263479,103.8000401
Admiralty Secondary School,School,1.445890689,103.8023982
Ahmad Ibrahim Primary School,School,1.433152715,103.8329424
Ahmad Ibrahim Secondary School,School,1.436059754,103.8297187
Ai Tong School,School,1.360583434,103.8330203
Alexandra Primary School,School,1.291334392,103.8244247
Anchor Green Primary School,School,1.390369987,103.8871654
Anderson Primary School,School,1.384264294,103.8413921
Anderson Secondary School,School,1.374340017,103.8515541
Anderson Serangoon Junior College,School,1.37894408,103.8457609
Ang Mo Kio Primary School,School,1.369321766,103.8396309
Ang Mo Kio Secondary School,School,1.367337102,103.842155
Anglican High School,School,1.331181079,103.9418535
Anglo-Chinese Junior College,School,1.303042552,103.7853584
Anglo-Chinese School (Barker Road),School,1.319089284,103.8348027
Anglo-Chinese School (Independent),School,1.303704093,103.7803634
Anglo-Chinese School (Junior),School,1.309322527,103.8415521
Anglo-Chinese School (Primary),School,1.318370545,103.8356097
Angsana Primary School,School,1.348465689,103.9515771
Assumption English School,School,1.368381607,103.7666875
Assumption Pathway School,School,1.369670704,103.7659591
Bartley Secondary School,School,1.339954156,103.8828062
Beacon Primary School,School,1.383949362,103.773632
Beatty Secondary School,School,1.341790285,103.8522808
Bedok Green Primary School,School,1.323445933,103.937879
Bedok Green Secondary School,School,1.334519473,103.9350284
Bedok South Secondary School,School,1.325136552,103.9509891
Bedok View Secondary School,School,1.32415704,103.9437762
Bendemeer Primary School,School,1.322208485,103.8653513
Bendemeer Secondary School,School,1.3242587,103.8606342
Blangah Rise Primary School,School,1.276120479,103.8086285
Boon Lay Garden Primary School,School,1.342840138,103.7128584
Boon Lay Secondary School,School,1.342722163,103.7018915
